2021-02-19,Thailand,"82
","25,111
"
2021-02-19,Botswana,"226
","23,481
"
2021-02-19,DR Congo,"640
","21,301
"
2021-02-19,Malta,"301
","20,409
"
2021-02-19,Angola,"493
","20,381
"
2021-02-19,Jamaica,"381
","20,016
"
2021-02-19,Madagascar,"292
","19,598
"
2021-02-19,Maldives,"58
","18,340
"
2021-02-19,French Polynesia,"136
","18,321
"
2021-02-19,Donetsk PR,"1,584
","17,905
"
2021-02-19,Rwanda,"243
","17,835
"
2021-02-19,Mauritania,"432
","17,041
"
2021-02-19,Eswatini,"640
","16,709
"
2021-02-19,Cape Verde,"141
","14,848
"
2021-02-19,Syria,"971
","14,765
"
2021-02-19,Guinea,"82
","14,451
"
2021-02-19,Tajikistan,"90
","13,308
"
2021-02-19,Gabon,"75
","12,865
"
2021-02-19,Belize,"313
","12,188
"
2021-02-19,Haiti,"246
","11,969
"
2021-02-19,Burkina Faso,"137
","11,538
"
2021-02-19,Abkhazia,"170
","11,469
"
2021-02-19,Hong Kong,"197
","10,821
"
2021-02-19,Andorra,"107
","10,538
"
2021-02-19,Lesotho,"285
","10,455
"
2021-02-19,Suriname,"168
","8,838
"
2021-02-19,Congo,"123
","8,419
"
2021-02-19,Bahamas,"179
","8,376
"
2021-02-19,Guyana,"189
","8,313
"
2021-02-19,Mali,"340
","8,222
"
2021-02-19,Trinidad and Tobago,"138
","7,666
"
2021-02-19,Aruba,"70
","7,553
"
2021-02-19,Guam,"121
","7,257
"
2021-02-19,Nicaragua,"171
","6,347
"
2021-02-19,Iceland,"29
","6,044
"
2021-02-19,Togo,"81
","6,007
"
2021-02-19,Djibouti,"63
","5,967
"
2021-02-19,South Sudan,"79
","5,922
"
2021-02-19,Equatorial Guinea,"88
","5,747
"
2021-02-19,Somalia,"179
","5,632
"
2021-02-19,Benin,"65
","5,143
"
2021-02-19,Central African Republic,"63
","4,996
"
2021-02-19,Niger,"169
","4,695
"
2021-02-19,Curaçao,"22
","4,658
"
2021-02-19,The Gambia,"135
","4,302
"
2021-02-19,Gibraltar,"88
","4,227
"
2021-02-19,Sierra Leone,"79
","3,829
"
2021-02-19,Chad,"131
","3,664
"
2021-02-19,Comoros,"135
","3,413
"
2021-02-19,San Marino,"72
","3,317
"
2021-02-19,Jersey,"68
","3,208
"
2021-02-19,Guinea-Bissau,"46
","2,999
"
2021-02-19,South Ossetia,"60+
","2,587
"
2021-02-19,U.S. Virgin Islands,"25
","2,558
"
2021-02-19,Liechtenstein,"54
","2,542
"
2021-02-19,Saint Lucia,"23
","2,519
"
2021-02-19,Mongolia,"4
","2,448
"
2021-02-19,Yemen,"660
","2,436
"
2021-02-19,Luhansk PR,"204
","2,391
"
2021-02-19,Vietnam,"35
","2,347
"
2021-02-19,Eritrea,"7
","2,326
"
2021-02-19,New Zealand,"25
","2,307
"
2021-02-19,Barbados,"24
","2,268
"
2021-02-19,Northern Cyprus,"14
","2,255
"
2021-02-19,Artsakh,"31
","2,234
"
2021-02-19,Sint Maarten,"27
","2,021
"
2021-02-19,Seychelles,"9
","1,987
"
2021-02-19,Liberia,"85
","1,985
"
2021-02-19,Turks and Caicos Islands,"13
","1,928
"
2021-02-19,Burundi,"3
","1,797
"
2021-02-19,Monaco,"21
","1,752
"
2021-02-19,São Tomé and Príncipe,"20
","1,535
"
2021-02-19,Saint Vincent and The Grenadines,"6
","1,453
"
2021-02-19,Somaliland,"50
","1,396
"
2021-02-19,,"1
","1,102
"
2021-02-19,Charles de Gaulle,"0
","1,081
"
2021-02-19,Taiwan,"9
","940
"
2021-02-19,Papua New Guinea,"9
","914
"
2021-02-19,Bhutan,"1
","866
"
2021-02-19,Guernsey,"13
","808
"
2021-02-19,Diamond Princess,"14
","712
"
2021-02-19,Bermuda,"12
","699
"
2021-02-19,Faroe Islands,"1
","658
"
2021-02-19,Mauritius,"10
","601
"
